x1,y1,z1,a1,e1,r1,time1,quality1,x2,y2,z2,a2,e2,r2,time2,quality2,x3,y3,z3,a3,e3,r3,time3,quality3,x4,y4,z4,a4,e4,r4,time4,quality4,x5,y5,z5,a5,e5,r5,time5,quality5,x6,y6,z6,a6,e6,r6,time6,quality6,x7,y7,z7,a7,e7,r7,time7,quality7,x8,y8,z8,a8,e8,r8,time8,quality8
-40.005,-8.003233,45.68652,179.7363,-27.1582,170.9033,00:00:00.2363692,3148,-22.84884,-6.953994,42.96296,-89.38477,-43.28613,-64.57764,00:00:00.2363692,7408,-25.77331,-7.177236,44.69308,-120.52,-35.63965,100.3491,00:00:00.2363692,6604,-23.3623,-7.969747,40.84216,-111.8848,-40.20996,-41.08887,00:00:00.2363692,8652,-26.23096,-7.132588,45.2177,-134.3188,-42.64893,36.34277,00:00:00.2363692,6456,-15.32558,-9.141768,25.33799,-36.16699,-24.63135,-96.65771,00:00:00.2363692,22400,-31.54412,-7.701856,44.10149,-150.9741,-25.57617,153.9624,00:00:00.2363692,6616,-22.36887,-10.604,38.55392,-82.48535,-16.19385,7.668457,00:00:00.2363692,11280
-40.01616,-8.025557,45.68652,179.8022,-27.1582,170.8813,00:00:00.2483378,3156,-22.78186,-7.054453,42.97412,-89.09912,-42.6709,-64.37988,00:00:00.2483378,7416,-25.75099,-7.221885,44.60379,-120.1904,-35.15625,100.5249,00:00:00.2483378,6624,-23.35113,-8.04788,40.78635,-111.5771,-39.375,-40.86914,00:00:00.2483378,8652,-26.20863,-7.110264,45.22887,-133.9673,-42.34131,36.34277,00:00:00.2483378,6460,-15.42603,-9.621738,25.08126,-36.54053,-24.104,-94.72412,00:00:00.2483378,22460,-31.5218,-7.72418,44.09033,-150.7544,-25.37842,153.9624,00:00:00.2483378,6620,-22.29073,-10.35844,38.67671,-82.5293,-16.19385,7.734375,00:00:00.2483378,11260
-40.02732,-8.036718,45.66419,179.8462,-27.11426,170.8594,00:00:00.2603044,3164,-22.7707,-7.177236,42.9518,-88.96729,-41.83594,-63.76465,00:00:00.2603044,7412,-25.66169,-7.255371,44.69308,-119.5972,-34.78271,100.459,00:00:00.2603044,6648,-23.39578,-8.04788,40.75286,-111.6211,-39.04541,-40.62744,00:00:00.2603044,8652,-26.20863,-7.087939,45.22887,-133.5718,-41.85791,36.43066,00:00:00.2603044,6456,-15.49301,-9.878467,24.92499,-36.71631,-23.8623,-93.7793,00:00:00.2603044,22500,-31.51064,-7.713017,44.04568,-150.249,-24.67529,154.248,00:00:00.2603044,6620,-22.25725,-10.13519,38.76601,-82.66113,-16.36963,7.756348,00:00:00.2603044,11220
-40.04965,-8.036718,45.65303,179.8462,-27.07031,170.8374,00:00:00.2702811,3172,-22.84884,-7.132588,42.96296,-89.16504,-41.63818,-63.30322,00:00:00.2702811,7400,-25.90726,-7.065615,44.50333,-120.0806,-33.75,101.6895,00:00:00.2702811,6684,-23.46275,-7.99207,40.73054,-111.8188,-38.8916,-40.29785,00:00:00.2702811,8652,-26.21979,-7.009805,45.24003,-133.2642,-41.33057,36.71631,00:00:00.2702811,6452,-15.57114,-10.09055,24.77988,-36.91406,-23.73047,-93.14209,00:00:00.2702811,22544,-31.54412,-7.657207,44.03452,-149.9634,-24.08203,154.6216,00:00:00.2702811,6624,-22.24608,-10.02357,38.81065,-82.74902,-16.52344,7.77832,00:00:00.2702811,11196
-40.06081,-8.036718,45.65303,179.8462,-27.07031,170.8374,00:00:00.2822458,3180,-22.91581,-7.087939,43.00761,-89.2749,-41.61621,-63.06152,00:00:00.2822458,7380,-25.78447,-7.132588,44.46984,-119.3335,-33.64014,101.4917,00:00:00.2822458,6724,-23.48508,-7.969747,40.73054,-111.8848,-38.80371,-40.16602,00:00:00.2822458,8652,-26.23096,-6.953994,45.27352,-133.1104,-41.11084,36.87012,00:00:00.2822458,6444,-15.60463,-10.13519,24.75756,-36.95801,-23.84033,-93.27393,00:00:00.2822458,22568,-31.55528,-7.545586,44.09033,-149.7437,-23.68652,155.061,00:00:00.2822458,6628,-22.19027,-9.84498,38.91111,-82.79297,-16.83105,7.624512,00:00:00.2822458,11160
-40.06081,-8.036718,45.65303,179.8242,-27.07031,170.8374,00:00:00.2932171,3184,-22.96046,-7.043291,43.01877,-89.34082,-41.63818,-62.97363,00:00:00.2932171,7372,-25.78447,-7.244209,44.62611,-118.96,-33.5083,101.4478,00:00:00.2932171,6764,-23.5074,-7.958584,40.7417,-111.9067,-38.78174,-40.16602,00:00:00.2932171,8652,-26.23096,-6.953994,45.29584,-132.9785,-41.02295,36.87012,00:00:00.2932171,6440,-15.61579,-10.09055,24.77988,-36.95801,-23.97217,-93.58154,00:00:00.2932171,22580,-31.57761,-7.523262,44.19079,-149.5239,-23.53271,155.1929,00:00:00.2932171,6632,-22.1233,-9.655225,39.0339,-82.83691,-17.18262,7.316895,00:00:00.2932171,11132
-40.07197,-8.04788,45.66419,179.8242,-27.07031,170.8374,00:00:00.3041883,3188,-22.97162,-6.98748,43.06342,-89.31885,-41.7041,-62.99561,00:00:00.3041883,7356,-25.75099,-6.98748,44.76006,-119.3335,-33.70605,101.4478,00:00:00.3041883,6772,-23.48508,-7.936259,40.77518,-111.8408,-38.91357,-40.29785,00:00:00.3041883,8656,-26.18631,-6.98748,45.36281,-132.7148,-41.02295,36.71631,00:00:00.3041883,6436,-15.61579,-9.990088,24.85802,-36.89209,-24.16992,-94.10889,00:00:00.3041883,22600,-31.54412,-7.545586,44.25776,-149.3481,-23.55469,155.1709,00:00:00.3041883,6632,-22.05633,-9.554766,39.12319,-82.81494,-17.40234,7.075195,00:00:00.3041883,11116
-40.07197,-8.04788,45.67535,179.8242,-27.09229,170.8374,00:00:00.3151584,3196,-22.9493,-6.965157,43.0969,-89.23096,-41.77002,-63.0835,00:00:00.3151584,7336,-25.63936,-7.099101,44.64844,-118.8721,-33.70605,101.1841,00:00:00.3151584,6784,-23.46275,-7.936259,40.79751,-111.7749,-39.00146,-40.40771,00:00:00.3151584,8652,-26.1305,-7.020967,45.38514,-132.4951,-41.06689,36.5625,00:00:00.3151584,6424,-15.59347,-9.889628,24.92499,-36.8042,-24.3457,-94.57031,00:00:00.3151584,22608,-31.47715,-7.590234,44.32474,-149.1284,-23.66455,155.105,00:00:00.3151584,6636,-21.94471,-9.431982,39.23481,-82.74902,-17.70996,6.723633,00:00:00.3151584,11088
-40.07197,-8.059043,45.67535,179.8242,-27.11426,170.8154,00:00:00.3261596,3196,-22.93814,-6.953994,43.0969,-89.18701,-41.79199,-63.12744,00:00:00.3261596,7328,-25.57239,-7.166074,44.71541,-118.6304,-33.77197,101.0083,00:00:00.3261596,6796,-23.45159,-7.936259,40.79751,-111.7529,-39.04541,-40.42969,00:00:00.3261596,8652,-26.09701,-7.065615,45.37397,-132.3853,-41.08887,36.45264,00:00:00.3261596,6412,-15.5823,-9.800332,25.00312,-36.71631,-24.49951,-95.00977,00:00:00.3271251,22608,-31.44366,-7.634883,44.3359,-149.0186,-23.7085,154.9951,00:00:00.3271251,6636,-21.83309,-9.342686,39.30179,-82.70508,-17.92969,6.416016,00:00:00.3271251,11064
-40.07197,-8.059043,45.67535,179.8022,-27.11426,170.8154,00:00:00.3371024,3200,-22.90465,-6.965157,43.08574,-89.14307,-41.79199,-63.19336,00:00:00.3371024,7312,-25.57239,-7.132588,44.74889,-118.7842,-33.83789,100.9863,00:00:00.3371024,6792,-23.44043,-7.936259,40.80867,-111.7529,-39.08936,-40.47363,00:00:00.3371024,8648,-26.07469,-7.087939,45.36281,-132.3853,-41.11084,36.40869,00:00:00.3371024,6404,-15.55998,-9.688711,25.09242,-36.58447,-24.78516,-95.69092,00:00:00.3371024,22604,-31.4325,-7.657207,44.31358,-148.9966,-23.73047,154.9512,00:00:00.3371024,6632,-21.77728,-9.320361,39.32411,-82.68311,-18.03955,6.262207,00:00:00.3371024,11048
